"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Arduino_Nano_Every","Module:Arduino_Nano",""
"2","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10","10","C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT",""
"3","J1","1","Conn_01x06_Pin","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"4","J2, J6","2","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"5","J3, J5","2","Conn_01x01_Pin","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"6","J4","1","Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478035_Horizontal",""
"7","J7","1","Conn_01x04_Pin","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"8","J8, J9","2","Conn_01x14_Pin","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical",""
"9","LS1","1","Speaker","",""
"10","Q1, Q2, Q3","3","BC547","Package_TO_SOT_THT:TO-92_Inline_Wide",""
"11","R1","1","AlpsPot","Library:AlpsPot",""
"12","R2, R3, R4, R5, R6, R7, R8, R9, R10","9","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"13","SW1, SW2, SW3, SW4, SW5, SW6","6","SW_Push","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"14","SW8","1","RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"15","U1","1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
"16","U2","1","LM386","Package_DIP:DIP-8_W7.62mm",""
"17","U3, U6, U7, U8","4","Aux_flush","Library:aux_flush",""
"18","U4","1","TL072","Package_DIP:DIP-8_W7.62mm",""
"19","U5","1","Switch","Library:Switch",""
"20","U9","1","~","Package_SO:SOIC-16_4.55x10.3mm_P1.27mm",""
"21","Y1","1","Crystal","Crystal:Crystal_HC49-4H_Vertical",""
